A & M Institute Of Mgt. & Tech ,,Punjab   
Punitha Ohm College Of Education ,,Tamil Nadu   
Punitha Ohm Teacher Training Institute ,,Tamil Nadu   
Punitha Valanar College Of Education ,,Tamil Nadu   
Punjab Agricultural University ,,Punjab   
Punjab Agriculture University Ludhiana ,Ludhiana   ,Punjab   
Punjab Business School ,,Punjab   
Punjab College Of Education ,,Punjab   
Punjab College Of Engineering & Technology ,Patiala   ,Punjab   
Punjab College Of Technical Education ,,Punjab   
Punjab Engineering College ,Chandigarh   ,Chandigarh   
Punjab Institute Of Management & Technology ,,Punjab   
Punjab University ,Chandigarh   ,Chandigarh   
Punjabai Patel College Of Education ,,Maharashtra   
Punjabi Uni Deptt Of Correspondance Courses ,,Punjab   
Punjabi University College Of Education ,,Punjab   
Punjabi University Patiala ,Patiala   ,Punjab   
"Punyagiri Degree College, Vizianagaram ",Vizianagaram   ,Andhra Pradesh   
Purandareswari College Of Education ,,Andhra Pradesh   
Puratchi Thalaivar Dr M G R College Of Edn ,,Tamil Nadu   
Puratchi Thalaivar Dr Mgr Teacher Training Instt ,,Tamil Nadu   
Purba Medinipur Primary Teachers Traning Institute ,,West Bengal   
Purnea College ,,Bihar   
Purnea Mahila College ,,Bihar   
Purnima Ram Pratap Sanskrit Mahavidyalaya ,,Bihar   
Purushottam Institute Of Engineering And Technology ,,Orissa   
Purvanchal Degree College ,,Uttar Pradesh   
Purvanchal University ,,Uttar Pradesh   
Pushp Institute Of Sciences And Higher Studies ,,Uttar Pradesh   
Pushpageeth College Of Teacher Education ,,Kerala   
Pushpagiri College Of Education ,,Andhra Pradesh   
"Pushpagiri Institute Of Medical Sciences And Research Centre, Thiruvalla ",Thiruvalla   ,Kerala   
Pushpanjali College Of Education ,,Maharashtra   
Pyarabai Somani Adhyapika Vidyalaya ,,Maharashtra   
Pydah College ,Visakhapatnam   ,Andhra Pradesh   
Pydah College For Pg Studies ,Visakhapatnam   ,Andhra Pradesh   
"Pydah College For Women, Visakhapatnam ",Palem   ,Andhra Pradesh   
Pydah College Of Education ,,Andhra Pradesh   
Pydah College Of Engineering & Technolog ,Visakhapatnam   ,Andhra Pradesh   
R.K. College Of Education,, Haryana  
R.K. College Of Engineering & Technology, Rajkot  , Gujarat  
R.K. College Of System & Management,, Uttar Pradesh  
R.K. Desai Instt Of Teacher Education,, Gujarat  
R.K. Gupta Memorial Institute Of Tech & Mngt,, Uttar Pradesh  
R.K. Institute Of Management & Research, Mumbai  , Maharashtra  
R.K. Institute Of Management And Computer Sciences, Bangalore  , Karnataka  
R.K. Mission Boy'S Home Ptti Rahara,, West Bengal  
R.K. Mission Sarada Mandir Govt Sponsored Ptti,, West Bengal  
R.K. P D Ed College,, Karnataka  
R.K. P E T D Ed College Mallasandra,, Karnataka  
R.K. Samy College Of Education,, Tamil Nadu  
R.K. Samy Teacher Training Institute,, Tamil Nadu  
R.K. Sanatombi Devi College Of Education,, Manipur  
R.K. Talreja College Of Artsscience & Commerce,, Maharashtra  
R.K. Vidya Prasar Mandal,, Maharashtra  
R.K.Arya College,, Punjab  
R.K.D.F. Institute Of Management, Bhopal  , Madhya Pradesh  
R.K.L.K. College Of Education,, Andhra Pradesh  
R.K.L.K. Rao Degree College, Nalgonda  , Andhra Pradesh  
R.K.L.K. Raos Women Degree College, Suryapet  , Andhra Pradesh  
R.K.P. Degree College, Adilabad  , Andhra Pradesh  
R.K.R. College Of Education,, Tamil Nadu  
R.K.R. Teacher Training Institute,, Tamil Nadu  
R.K.S.D. College Of Education,, Haryana  
R.L. College Of Education,, Haryana  
R.L. Institute Of Management Studies, Madurai  , Tamil Nadu  
R.L. Law College, Belgaum  , Karnataka  
R.L. Patel Ptc College,, Gujarat  
R.L.N. Dora College Of Education,, Andhra Pradesh  
R.L.S.Law College,, Karnataka  
R.M. P C S I P S K Rajaratnam Mem College Of Edn,, Tamil Nadu  
R.M. Teacher Training Institute,, Kerala  
R.M.D Engineering College, Tiruvallur  , Tamil Nadu  
R.M.K College Of Engineering And Technology, Chennai  , Tamil Nadu  
R.M.M. Law College, Saharsa  , Bihar  
R.M.R. College Of Education,, Haryana  
R.Madhya Pradesh. Postgraduate College,, Uttar Pradesh  
R.Madhya Pradesh.P.V. College,, Uttar Pradesh  
R.N. College,, Uttar Pradesh  
R.N. Inst Of Modern Mngt Edn & Research Center,, Uttar Pradesh  
R.N. Shetty Institutute Of Education,, Karnataka  
R.N. Singhgovernment College,, Madhya Pradesh  
R.N.C. Arts J.D.B. Commerce And N.S.C. Science College,, Maharashtra  
R.N.M.M. Law College,, Bihar  
R.N.T. College Pf Teachers Education Highway,, Rajasthan  
R.N.T. Institute Of Bstc,, Rajasthan  
R.N.T. Medical College, Udaipur  , Rajasthan  
R.N.T.T. College,, Rajasthan  
R.P. Post Graduate College,, Uttar Pradesh  
R.P.Gogate College Of Arts Science & R.V.J. College Of Commerce,, Maharashtra  
R.P.M. Degree College,, Uttar Pradesh  
R.P.S. College Of Education,, Haryana  
R.P.S. Teachers Training College,, Bihar  
R.R. B Ed College,, Karnataka  
R.R. Bawa D.A.V. College For Girls,, Punjab  
R.R. College Of Management Studies & Computer Applications, Bangalore  , Karnataka  
R.R. D Ed College,, Karnataka  
R.R. Educational Trust D Ed College,, Maharashtra  
R.R. Institute Of Advanced Studies, Bangalore  , Karnataka  
R.R. Lahoti Science College,, Maharashtra  
R.R. Memorial Degree College, Jangaon  , Andhra Pradesh  
R.R. Tamil Medium D Ed College,, Karnataka  
R.R.M.K. Arya Mahila Mahavidyalaya,, Punjab  
R.S. Bidkar Artsscience& Commerce College,, Maharashtra  
R.S. College,, Punjab  
R.S. Mahavidyalaya,, Orissa  
R.S. Memorial College Of Education,, Haryana  
R.S.C. College,, Madhya Pradesh  
R.S.D. Academy,, Uttar Pradesh  
R.S.G.U. Degree (P.G.) College,, Uttar Pradesh  
R.S.K.D. Pg Degree College,, Uttar Pradesh  
R.S.M. Degree College,, Uttar Pradesh  
R.S.P. College,, Jharkhand  
R.S.S. Degree College,, Uttar Pradesh  
R.S.S.P. Mandals Ltd Sanchalit Rastriya Arts Sc Commerce College,, Maharashtra  
R.S.V. College Of Education,, Karnataka  
R.T.C. B Ed College,, Jharkhand  
R.T.E. Societys College Of Education,, Karnataka  
R.T.E.S.S Arts Sc. & Commerce College,, Karnataka  
R.V. Bidap Law College,, Karnataka  
R.V. Higher Education And Technical Institute,, Uttar Pradesh  
R.V. Teachers College,, Karnataka  
R.V. Teachers Training Institution,, Karnataka  
R.V. Training College,, Kerala  
R.V.P. First Grade College,, Karnataka  
R.V.S College Of Computer Application, Karaikal  , Pondicherry  
R.V.S. College Of Education,, Tamil Nadu  
R.V.S. College Of Engineering, Bangalore  , Karnataka  
R.V.S. College Of Physiotherapy, Cuddalore  , Tamil Nadu  
R.V.S. Teacher Training Institute,, Tamil Nadu  
R.V.S. Teahcer Training Institute,, Pondicherry  
R.V.V.N. College, Guntur  , Andhra Pradesh  
Raadhaa College Of Education,, Tamil Nadu  
Raak Teacher Training Institute,, Pondicherry  
Raath Mahavidyalaya,, Uttaranchal  
Rabiammal Ahamed Maideen College For Women, Tiruvarur  , Tamil Nadu  
Rabindharanath Tagoor College Of Engineering For Women, Salem  , Tamil Nadu  
Rabindharanath Tagore College Of Arts And Science For Women, Salem  , Tamil Nadu  
Rabindharanath Tagore Teacher Trg Instt For Girls,, Tamil Nadu  
Rabindra Bharati University,, West Bengal  
Rabindra Mahavidyalaya,, West Bengal  
Rabindra Nazrul Smriti B Ed Educational Institute,, West Bengal  
Rabindra Satabarsiki Mahavidyalaya,, West Bengal  
Rabindranath Tagore College Of Education,, Andhra Pradesh  
Rabindranath Tagore College Of Education For Women,, Tamil Nadu  
Rabindranath Tagore T T I For Girls,, Tamil Nadu  
Rabindranath Tagore Teacher Training College,, Andhra Pradesh  
Rabindrasashan Girls College,, Assam  
Rachapudi Nagabushanam Degree College, Cuddapah  , Andhra Pradesh  
Radha Govind College Of Edn,, Uttar Pradesh  
Radha Govind Engineering College, Meerut  , Uttar Pradesh  
Radha Govind Primary Teachers Training College,, Jharkhand  
Radha Krishan College Behind Of Sangita Lough,, Madhya Pradesh  
Radha Krishan College Of Education,, Madhya Pradesh  
Radha Krishan Kanya Mahavidyalaya,, Uttar Pradesh  
Radha Krishan Teacher Training College,, Rajasthan  
Radha Mohan Kisan Majdoor Mahavidyalaya,, Uttar Pradesh  
Radha Mohan Kishan Majdoor Mahavidyalaya,, Uttar Pradesh  
Radha Umakant Sanskrit Mahavidyalaya,, Bihar  
Radhabai Kale Mahila Mahavidyalya(Arts & Sciences),, Maharashtra  
Radhakrishnan Teachers Training College,, Rajasthan  
Radhamadhab College,, Assam  
Radhanath Inistitute Of Advanced Studies In Edn,, Orissa  
Radhanath Institute Of Advance Studies,, Orissa  
Radhanath Secondary Training School,, Orissa  
Radharaman Engineering College, Bhopal  , Madhya Pradesh  
Radharaman Institute Of Research And Technology, Ratibad  , Madhya Pradesh  
Radharaman Institute Of Technology And Science, Ratibad  , Madhya Pradesh  
Radhaswami Vivdh Karykari Education Sanstha,, Maharashtra  
Radhaswami Vividh Karykari Education Sanstha,, Maharashtra  
Radhe B Ed College,, Gujarat  
Radhey Charitable Trust,, Maharashtra  
S K R Engineering College ,Tiruvallur   ,Tamil Nadu   
S T J Institute Of Technology ,Dharwad   ,Karnataka   
S.B.S. College Of Engineering & Technology ,Firozpur   ,Punjab   
S.C.T. Institute Of Technology ,Bangalore   ,Karnataka   
S.E.A. College Of Engg. & Tech ,Virgonagar   ,Karnataka   
S.I.E.T. School Of Management ,,Maharashtra   
S.J.B.Institute Of Technology ,Bangalore   ,Karnataka   
S.J.C. Institute Of Technology ,Kolar   ,Karnataka   
S.K.P Engineering College ,Tiruvannamalai   ,Tamil Nadu   
S.M. Khader Engineering College ,Kanchipuram   ,Tamil Nadu   
S.R. Engineering College ,Warangal   ,Andhra Pradesh   
S.R.M. Engineering College ,Chennai   ,Tamil Nadu   
S.S. Institute Of Technology ,Hyderabad   ,Andhra Pradesh   
S.V. Model College Of Tech ,Rangareddy   ,Andhra Pradesh   
S.Veerasamy Chettiar College Of Engineering ,Tirunelveli   ,Tamil Nadu   
Sa Engineering College ,Chennai   ,Tamil Nadu   
Sachdeva Institute Of Technology. ,Mathura   ,Uttar Pradesh   
Sacs M.A.V.M.M Engineering College ,Madurai   ,Tamil Nadu   
Sacs M.A.V.M.M Engineering College Tamil Nadu ,Madurai   ,Tamil Nadu   
Safa College Of Engineering & Technology ,Kurnool   ,Andhra Pradesh   
Sagar Institute Of Science And Technology ,Bhopal   ,Madhya Pradesh   
Sagar Institute Of Technology And Management ,Barabanki   ,Uttar Pradesh   
Sagi Ramakrishnam Raju Engineering College ,West Godavari   ,Andhra Pradesh   
Sahibzada Ajit Singh Institute Of Information Technology ,Mohali   ,Punjab   
Sahrdaya College Of Engineering & Technology ,Trichur   ,Kerala   
Sahyadri Institute Of Technology ,Mangalore   ,Karnataka   
Sai Engineering College ,Balasore   ,Orissa   
Sai Spurthi Institute Of Technology ,Sathupally   ,Andhra Pradesh   
Saint Dyaneshwar Shikshan Sanstha'S College Of Engineering And Technology ,,Maharashtra   
Saint Margaret Engineering College ,Alwar   ,Rajasthan   
"Saintgits College Of Engineering, ",Kottayam   ,Kerala   
Sakthi Engineering College ,Chennai   ,Tamil Nadu   
Sakthi Mariamman Engineering College ,Chennai   ,Tamil Nadu   
Sam College Of Engineering & Technology ,Jabalpur   ,Madhya Pradesh   
Samanta Chandra Sekhar Institute Of Technology And Management ,,Orissa   
Sambhram Institute Of Technology ,Bangalore   ,Karnataka   
Samrat Ashok Technological Institute ,Vidisha   ,Madhya Pradesh   
Sams College Of Engineering & Technology ,Tiruvallur   ,Tamil Nadu   
Samskruti College Of Engineering And Technology ,Ghatkesar   ,Andhra Pradesh   
Sana Engineering College ,Kodad   ,Andhra Pradesh   
Sanghvi Institute Of Management & Science ,Indore   ,Madhya Pradesh   
Sanjay Education Society'S College Of Engineering ,Dhule   ,Maharashtra   
Sanjay Institute Of Engineering And Management ,Mathura   ,Uttar Pradesh   
Sanjay Memorial Institute Of Technology ,Berhampur   ,Orissa   
Sanjivani Education Society College Of Engineering ,Shahajanagar ,Maharashtra   
Sanjivani Rural Education Society'S College Of Engineering ,Ahmednagar   ,Maharashtra   
Sankalchand Patel College Of Engineering ,Gandhi Nagar   ,Gujarat   
Sankethika Vidya Parishad Engineering College ,Visakhapatnam   ,Andhra Pradesh   
Sanmarg Shikshan Sanstha'S Smt.Radhikatai Pandav College Of Engineering ,Nagpur   ,Maharashtra   
Sanskar City Institute Of Technology And Management ,Rajnandgaon   ,Chhattisgarh   
Sant Baba Bhag Singh Institute Of Engineering & Technology ,,Punjab   
"Sant Gajanan Maharaj College Of Engineering, Shegaon ",Buldana   ,Maharashtra   
Sant Longowal Central Institute Of Engineering & Technology ,,Punjab   
Sant Samarth Engineering College ,Hyderabad   ,Andhra Pradesh   
Santhiram Engineering College ,Kurnool   ,Andhra Pradesh   
Santhosha Engineering College ,Tiruvallur   ,Tamil Nadu   
Sapthagiri College Of Engineering Tamil Nadu ,Dharmapuri   ,Tamil Nadu   
Sapthagiri Engineering College ,Bangalore   ,Karnataka   
Sarabhai Institute Of Science And Technology ,Trivandrum   ,Kerala   
Sarada Institute Of Science Technology & Management ,Srikakulam   ,Andhra Pradesh   
Sarada Institute Of Technology And Science ,Raghunathapalem   ,Andhra Pradesh   
Saranathan College Of Engineering ,Trichy   ,Tamil Nadu   
Saraswathi Velu College Of Engineering ,Vellore   ,Tamil Nadu   
Saraswati College Of Engineering ,Thane   ,Maharashtra   
Sardar Patel Memorial Soc'S Chandrapur Engineering College ,Chandrapur   ,Maharashtra   
Sardar Raja College Of Engineering ,Tirunelveli   ,Tamil Nadu   
Sardar Vallabhbhai Patel Institute Of Technolog ,Valsad   ,Gujarat   
Saroj Institute Of Technology ,Lucknow   ,Uttar Pradesh   
Saroj Mohan Institute Of Technology ,Hooghly   ,West Bengal   
Sarvajanik College Of Engineering & Technology ,Surat   ,Gujarat   
Sasi Institute Of Tech Engineering ,Kadakatia   ,Andhra Pradesh   
Sasurie Academy Of College ,Coimbatore   ,Tamil Nadu   
Sasurie College Of Engineering ,Erode   ,Tamil Nadu   
Sat Priya Institute Of Engineering And Technology ,Rohtak   ,Haryana   
Satyadeva Institute Of Technology ,Rajnandgaon   ,Chhattisgarh   
Saveetha Engineering College ,Kanchipuram   ,Tamil Nadu   
Scad College Of Engineering And Technology ,Tirunelveli   ,Tamil Nadu   
School Of Science And Technology ,,Kerala   
Scient Institute Of Tech ,Ibrahimpatnam   ,Andhra Pradesh   
Scms School Of Engineering & Technology ,Kochi   ,Kerala   
Sd College Of Engineering And Technology ,Muzaffarnagar   ,Uttar Pradesh   
Sd Institute Of Technology & Management ,,Haryana   
Sdm College Of Engineering And Technology ,Dharwad   ,Karnataka   
Sdm Institute Of Technology ,Kannada   ,Karnataka   
Seacom Engineering College ,Howrah   ,West Bengal   
"Secab Institute Of Engineering & Technology, ",Bijapur   ,Karnataka   
"Seedling Academy Of Design, Technology And Management ",Jaipur   ,Rajasthan   
Seemanta Engineering College ,,Orissa   
Seethai Ammal Engineering College ,Tirunelveli   ,Tamil Nadu   
Selvam College Of Technology ,Namakkal   ,Tamil Nadu   
Sengunthar College Of Engineering For Women ,Namakkal   ,Tamil Nadu   
Sengunthar Engineering College ,Namakkal   ,Tamil Nadu   
Seth Jai Parkash Mukand Lal Institute Of Engineering & Technology ,Yamunanagar   ,Haryana   
Sethu Institute Of Technology ,Madurai   ,Tamil Nadu   
Shaaz College Of Engineering & Technology ,Moinbad   ,Andhra Pradesh   
Shadan College Of Engineering And Technology ,Hyderabad   ,Andhra Pradesh   
Shadan Women'S College Of Engineering And Technology ,Hyderabad   ,Andhra Pradesh   
Shah Satnam Ji Institute Of Tech. Mgt ,Sirsa   ,Haryana   
Shaheed Bhagat Singh College Of Engineering & Technology ,,Punjab   
Shaheed Udham Singh College Of Engineering & Technology ,Malout   ,Punjab   
Shahjahan College Of Engineering & Technology ,Chevella   ,Andhra Pradesh   
Shahul Hameed Memorial Engineering College ,,Kerala   
Shambhu Nath Institute Of Engineering & Tech ,Allahabad   ,Uttar Pradesh   
Shankara Institute Of Technology ,Jaipur   ,Rajasthan   
Shanmuganathan Engineering College ,Pudukotai   ,Tamil Nadu   
Shantilal Shah Engineering College ,Bhavnagar   ,Gujarat   
Sharada Post Graduate Institute Of Research And Technological Sciences ,Cuddapah   ,Andhra Pradesh   
Shekhawati Engineering College ,,Rajasthan   
Sherwood College Of Engineering Research & Technology ,Barabanki   ,Uttar Pradesh   
Shetkari Shikshan Mandal'S Padmabhoosan ,,Maharashtra   
"Shikshan Sanstha, College Of Engineering ",,Maharashtra   
Shillong Engineering & Management College ,Shillong   ,Meghalaya   
Shirdi. Sai Engineering College ,Bangalore   ,Karnataka   
Shiv Kumar Singh Institute Of Technology & Science ,Indore   ,Madhya Pradesh   
Shiv Shankar Institute Of Engineering And Technology ,Amritsar   ,Punjab   
Shivajirao S. Jondhale College Of Engineering ,Thane   ,Maharashtra   
Shivalik College Of Engineering ,Dehradun   ,Uttaranchal   
Shivalik Institute Of Engineering & Technology ,,Haryana   
Shivdan Singh Institute Of Technology & Management Engineering Collele ,Aligarh   ,Uttar Pradesh   
Shivnagar Vidya Prasarak Mandal'S College Of Engineering ,Pune   ,Maharashtra   
Shobhit Institute Of Engineering & Technology ,Saharanpur   ,Uttar Pradesh   
Shobhit Institute Of Engineering & Technology ,Meerut   ,Uttar Pradesh   
Shrama Sadhana Trust'S Col Of Engg & Tech ,,Maharashtra   
Shree Devi Institute Of Technology ,Mangalore   ,Karnataka   
Shree Ganpati Institute Of Technology ,Ghaziabad   ,Uttar Pradesh   
Shree Institute Of Science And Technology ,Bhopal   ,Madhya Pradesh   
Shree Motilal Kanhaiyalal Fomra Institute Of Technology ,Chennai   ,Tamil Nadu   
Shree Neminath Jain Brahmacharashram College Of Engineering ,Chandwad   ,Maharashtra   
Shree Ram Mulakh Instutute Of Engineering & Technology ,Ambala   ,Haryana   
Shree Rayeshwar Institute Of Engineering & Information Technology ,Najafgarh   ,Goa   
Shree Sai Institute Of Technology ,Ratlam   ,Madhya Pradesh   
Shree Sathguru Engineering College ,,Pondicherry   
Shree Swaminarayan Institute Of Technology ,,Gujarat   
Shree Venkateshwara Hi-Tech Engineering College ,Erode   ,Tamil Nadu   
Shri Andal Alagar College Of Engineering ,Kanchipuram   ,Tamil Nadu   
Shri Angala Amman College Of Engineering And Technology ,Trichy   ,Tamil Nadu   
Shri Annasaheb Dange College Of Engineering & Technology ,Sangli   ,Maharashtra   
Shri B.V.V.Sangha'S Basaveshwar Engineering College ,,Karnataka   
Shri Baba Mastnath Engineering College ,Rohtak   ,Haryana   
